policy,offpeak_import_kWh,offpeak_import_cost_USD,peak_import_kWh,peak_base_cost_USD,peak_surcharge_USD,peak_import_cost_USD,base_flat_import_cost_USD,total_import_cost_USD,export_revenue_USD,hydrogen_revenue_USD,carbon_transfer_USD,reconciliation_cost_USD_memo_only,reconstructed_direct_operating_balance_USD,authoritative_direct_operating_balance_USD,reconstruction_error_USD,peak_period_local_hour,tariff_provenance
C1,517135.9524167962,26839.355930431724,7709.6467984989085,400.13066884209337,200.06533442104669,600.19600326314,27239.486599273812,27439.551933694864,67110.65943872134,115524.03618918822,0.0,104.12936094687477,-155195.1436942147,-155195.14369421484,1.4551915228366852e-10,12:00-19:59,modeled study assumption
C2,229553.32662398895,11913.817651785026,159343.04298705925,8269.903931028375,4134.951965514188,12404.855896542564,20183.721582813403,24318.67354832759,131965.6557791732,607.1293143205855,0.0,0.9456723582900632,-108254.11154516619,-108254.11154516738,1.1932570487260818e-09,12:00-19:59,modeled study assumption
C3,229564.91461789826,11914.41906866892,159343.04298705925,8269.903931028375,4134.951965514188,12404.855896542564,20184.322999697295,24319.274965211484,131965.3832451241,607.2898699334597,9528.244961321438,0.9010572915946606,-98725.15318852464,-98725.15318852584,1.2078089639544487e-09,12:00-19:59,modeled study assumption
