policy,grid_import_MWh,grid_export_MWh,battery_throughput_MWh,PEMEL_MWh,PEMFC_MWh,H2_produced_kg,emissions_tCO2
C1,524.845599215,1617.12432382,1849.98511059,1815.54117604,202.533537503,32093.686323,257.174343615
C2,388.896369611,3179.89531998,0.784681681955,9.48141996868,5.92406864528e-08,168.670378883,190.559221109
C3,388.907957605,3179.88875289,1.42550749206,9.46672998007,8.05148165154e-08,168.73669867,190.564899226
