policy,hour,battery_soh,pemel_soh,pemfc_soh
C1,0,0.999977551496632,0.9999974736842102,0.999898024182258
C1,1,0.999967621342861,0.9999949473684214,0.999853471853293
C1,2,0.999959573676584,0.9999924210526315,0.99981210374015
C1,3,0.999953962327329,0.9999685351628712,0.999775179497726
C1,4,0.999947633468571,0.9999660088470813,0.999730618506082
C1,5,0.999942901133615,0.9999421229828014,0.999693694263658
C1,6,0.999938622491178,0.9999182371440027,0.999656770021233
C1,7,0.999934697449003,0.9998943513306845,0.999619845778809
C1,8,0.99993106530079,0.9998704655364766,0.999582921536385
C1,9,0.999927751277958,0.9998465797677502,0.999582921536385
C1,10,0.999924636532045,0.999822694018134,0.999488573051536
C1,11,0.999921693040865,0.999798808293999,0.999451648809112
C1,12,0.999918901499427,0.9997749225953447,0.999414724566688
C1,13,0.999916248387382,0.9997510369158015,0.999377800324264
C1,14,0.999913715293263,0.9997271512617397,0.999340876081839
C1,15,0.999911786271476,0.9997032656331574,0.999340876081839
C1,16,0.999909944644921,0.9997007393173685,0.999242655147775
C1,17,0.999908163623281,0.9996982130015787,0.999201871216564
C1,18,0.999906416590408,0.999695686685789,0.999161087289957
C1,19,0.999904620981609,0.9996931603700001,0.999119735009204
C1,20,0.999902379018654,0.9996906340542103,0.999079020235612
C1,21,0.999899576410748,0.9996881077384205,0.999038306963662
C1,22,0.999897310554349,0.9996642221480607,0.999038306963662
C1,23,0.999835659972391,0.9996403365768122,0.999038306963662
C1,24,0.999834174459647,0.999616451031044,0.998943958478814
C1,25,0.99983231033281,0.9996139247152543,0.998906828570629
C1,26,0.999830797763552,0.9995900391949676,0.998869904328205
C1,27,0.999828896867114,0.9995875128791788,0.998828879743509
C1,28,0.999827331710439,0.9995645137116226,0.998791955501085
C1,29,0.999826042464395,0.9995414981493728,0.998755031258661
C1,30,0.999824774532609,0.9995176126991592,0.998718107016236
C1,31,0.99982352689166,0.9994941453150905,0.998681182773812
C1,32,0.999822298597497,0.9994702599094686,0.998644258531388
C1,33,0.999820899186191,0.9994463745293288,0.998607334288964
C1,34,0.99981947879457,0.9994224891682995,0.998570410046539
C1,35,0.99981791702543,0.9993986038327525,0.998533485804115
C1,36,0.999816081067818,0.9993747185226858,0.998496561561691
C1,37,0.999814259428613,0.9993508332317304,0.998459637319267
C1,38,0.999812312898977,0.9993269479662564,0.998422713076842
C1,39,0.999810438800371,0.9993244216504666,0.998381929164648
C1,40,0.999808567099499,0.9993218953346769,0.998340700544806
C1,41,0.999807079371554,0.9992980106616539,0.998303776302381
C1,42,0.999805712530028,0.9992858061947605,0.998266852059957
C1,43,0.999804594998181,0.9992619209929894,0.998266852059957
C1,44,0.999803459517036,0.9992532898591139,0.998172167647949
C1,45,0.999802021894185,0.999250763543325,0.998134930609545
C1,46,0.999800845601254,0.9992268783734065,0.998098006367121
C1,47,0.999740420204221,0.9992243520576166,0.998057542129788
C1,48,0.999739200372831,0.9992004669131794,0.998020617887364
C1,49,0.999738201508,0.9991765817942244,0.99798369364494
C1,50,0.999736966473877,0.9991740554784346,0.997942679298143
C1,51,0.999735954756104,0.9991501703849611,0.997905755055718
C1,52,0.999734786999943,0.9991476440691712,0.997864764167599
C1,53,0.999733829675673,0.9991237804153461,0.997864764167599
C1,54,0.999732855701539,0.9990998953664653,0.997770415682751
C1,55,0.999731891638905,0.9990760103430656,0.997733491440327
C1,56,0.999730937133998,0.9990521253451483,0.997696567197902
C1,57,0.999729960826763,0.9990282403663414,0.997659642955478
C1,58,0.999728837752344,0.9990043554130167,0.997622718713054
C1,59,0.999727544473383,0.9989804704851745,0.99758579447063
C1,60,0.999725907004053,0.9989565855764424,0.997548870228205
C1,61,0.999723967223453,0.9989327006931927,0.997511945985781
C1,62,0.999722245380945,0.9989088158354255,0.997511945985781
C1,63,0.999720559085374,0.9989062895196356,0.997413550105843
C1,64,0.999718874160009,0.9989037632038458,0.997372400545138
C1,65,0.999717528550127,0.9988798783715598,0.997335476302714
C1,66,0.99971643934894,0.9988559935647561,0.99729855206029
C1,67,0.999715545003852,0.9988321089809193,0.99729855206029
